ticker,fund_name,initial_date,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FNCL,Fidelity MSCI Financials Index ETF,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04831289743367839,0.14010109226414835,-0.007453966046296778,0.23997397717501667,0.1998689109715306,-0.13439336620991416,0.3159095400137384,-0.021862643398325665,0.34922514492610723,-0.12283051226286057,0.14096653309424578,-0.00784310317327963
FNGD,Bank Of Montreal,2018-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13729706483173854,-0.7245762711864407,-0.9560181009283972,-0.6004115085181565,0.5221420880438805,-0.9013870089811216,-0.015437419170784228
FNGG,Direxion Daily NYSE FANG+ Bull 2X Shares,2021-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03076092338360048,-0.8715239627661966,2.0423131818196807,0.004994052158914686
FNGO,Bank Of Montreal,2018-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4028939839167689,0.7960439038090052,2.3799506504301133,0.2837837712696323,-0.7155163438474013,2.4010339266469494,0.0017372819192209565
FNGS,MicroSectors FANG  ETNs due January 8 2038,2019-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10908872507979495,1.0198759360842051,0.1696307798588661,-0.4032108586614005,0.9524056817084081,0.003974501974312927
FNGU,Bank Of Montreal,2018-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48590100693049654,1.1725390440075132,3.7933455251420813,0.30907943980248365,-0.8846789230295101,4.381007531383113,0.004079165918381644
FNK,First Trust Mid Cap Value AlphaDEX Fund,2011-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0737953416149767,0.16557084608316863,0.3854993205654853,0.05655746998191358,-0.13481680897300974,0.25998146785266263,0.11812094477329316,-0.14721580028957082,0.2056383269312263,0.012386942588719085,0.3358431239697326,-0.07235427088015756,0.21024367193454774,-0.030392141903147984
FNOV,FT Vest U.S. Equity Buffer ETF - November,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022682016835785745,0.12298947312294684,0.10770108165479608,-0.08876344600065,0.19690313600974285,0.004139781907061435
FNX,First Trust Mid Cap Core AlphaDEX Fund,2007-05-10,NA,NA,NA,NA,NA,NA,NA,NA,-0.0539618695017533,-0.3645409174273745,0.4680629232091771,0.26620949411355777,0.008448425137084214,0.14043672150195508,0.3788873860241626,0.05512617395239916,-0.08111529553379149,0.1868242962316915,0.17662436348676702,-0.11226685608994258,0.26967894060538433,0.1604438058723754,0.2504841057259912,-0.1356787047668676,0.2038957397008232,-0.029009084421499076
FNY,First Trust Mid Cap Growth AlphaDEX Fund,2011-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08532467540003996,0.11061725737196904,0.36617112547109176,0.04934381266875443,-0.014426886408542061,0.09399711173927505,0.25123891307155777,-0.07525325073619682,0.3253757111458524,0.369734433484985,0.13459790806914418,-0.23800432222659285,0.21132153621123706,-0.02598362009827937
FOCT,FT Vest U.S. Equity Buffer ETF - October,2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06384772366168767,0.13127475400186794,-0.07586793971326122,0.1781278814631011,0.004628447107245082
FOVL,iShares Focused Value Factor ETF,2019-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062175486030549454,-0.13204584405530306,0.40138910952704343,-0.09388689777558612,0.1771336941456314,-0.02231236471909337
FPX,First Trust US Equity Opportunities ETF,2006-05-24,NA,NA,NA,NA,NA,NA,NA,0.1796915633000742,0.14811890221470092,-0.4377169891335285,0.44588027521287166,0.18142115224111688,0.03039307143516745,0.3044228206299755,0.4776940425620355,0.11710764457159062,0.0228350141160083,0.06717997026179101,0.2702927254626257,-0.08344775981462271,0.3037660059322105,0.4788553864548326,0.03693518293974063,-0.3511020452735695,0.22262459205700735,-0.03139015700687764
FQAL,Fidelity Quality Factor ETF,2016-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04665890432453135,0.23033949864659942,-0.04390257103699513,0.28120589695600895,0.16168727795266924,0.31776478507700756,-0.2003426406476554,0.24195632835678538,-0.0018402369127769047
FREL,Fidelity MSCI Real Estate Index ETF,2015-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04725294363852317,0.06598623755620281,0.08860329095340469,-0.04516993654519763,0.28781101414239374,-0.049867964284746935,0.4045814258025966,-0.2686191204786197,0.11744176133250939,-0.013883637417671735
FRI,First Trust S&P REIT Index Fund,2007-05-10,NA,NA,NA,NA,NA,NA,NA,NA,-0.19209129682537784,-0.39204784857973574,0.2855589067714017,0.27704686323555117,0.08066818756565963,0.17257353602974335,0.01837843398793071,0.29768013773728974,0.018759909168456268,0.07878739012663094,0.03859695455517276,-0.04274608674949931,0.2366909223232827,-0.07876675520639087,0.42526448971641906,-0.2466275125665175,0.13328909129147082,-0.004954236352916808
FRTY,Alger Mid Cap 40 ETF,2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029162653298227204,-0.42230676517736687,0.16811088273797425,-0.014836781606593186
FSEP,FT Vest U.S. Equity Buffer ETF - September,2020-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09354023835845715,0.11603544336960758,-0.07053588501033659,0.20227069647000895,0.0032305479124155045
FSMD,Fidelity Small-Mid Multifactor ETF,2019-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08805319871370476,0.08936447140407378,0.2639795930989195,-0.1152206406550006,0.1737055701624599,-0.018768984647185794
FSST,Fidelity Sustainable U.S. Equity ETF,2021-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12496370800851908,-0.18301485101832415,0.2549415613581847,0.0012421204044505973
